City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
235,Egvekinot,RU,2021-09-17 21:48:57,66.3167,-179.1667,32.86,65,100,2.1,overcast clouds
236,Sakakah,SA,2021-09-17 21:48:57,29.9697,40.2064,83.39,28,0,15.01,clear sky
237,Klaksvik,FO,2021-09-17 21:48:57,62.2266,-6.589,53.19,85,92,14.16,overcast clouds
238,Fortuna,US,2021-09-17 21:48:58,40.5982,-124.1573,87.19,44,66,1.99,broken clouds
239,Port Hawkesbury,CA,2021-09-17 21:48:58,45.6169,-61.3485,68.92,87,0,3.0,clear sky
240,Beipiao,CN,2021-09-17 21:48:58,41.7919,120.7792,56.43,68,9,1.03,clear sky
241,Victoria,HK,2021-09-17 21:47:07,22.2855,114.1577,85.32,83,14,1.01,few clouds
242,Burnie,AU,2021-09-17 21:45:16,-41.0667,145.9167,54.91,88,86,17.11,overcast clouds
243,Maldonado,UY,2021-09-17 21:48:59,-34.6667,-54.9167,55.56,83,0,6.31,clear sky
244,Santa Cruz Del Sur,CU,2021-09-17 21:48:59,20.7147,-77.9956,88.93,59,19,1.54,few clouds
245,Tomatlan,MX,2021-09-17 21:45:26,19.9333,-105.25,84.81,74,100,7.11,overcast clouds
246,Chicama,PE,2021-09-17 21:49:00,-7.8447,-79.1469,69.12,67,28,9.15,scattered clouds
247,Port Hardy,CA,2021-09-17 21:45:43,50.6996,-127.4199,49.6,94,100,17.52,moderate rain
248,Aswan,EG,2021-09-17 21:46:39,24.0934,32.907,80.29,29,2,10.25,clear sky
249,Talnakh,RU,2021-09-17 21:46:56,69.4865,88.3972,36.84,70,16,3.22,few clouds
250,Deputatskiy,RU,2021-09-17 21:47:41,69.3,139.9,31.93,99,100,5.26,snow
251,Pangnirtung,CA,2021-09-17 21:49:01,66.1451,-65.7125,35.11,77,100,2.68,overcast clouds
252,Yumen,CN,2021-09-17 21:49:01,40.2833,97.2,65.32,30,0,15.57,clear sky
253,Coquimbo,CL,2021-09-17 21:49:02,-29.9533,-71.3436,57.58,80,0,8.59,clear sky
254,Shimoda,JP,2021-09-17 21:49:02,34.6667,138.95,75.51,92,100,14.54,heavy intensity rain
255,Antalaha,MG,2021-09-17 21:49:03,-14.9003,50.2788,66.45,92,76,4.16,broken clouds
256,Sao Filipe,CV,2021-09-17 21:49:03,14.8961,-24.4956,78.69,78,37,12.46,scattered clouds
257,Hudson Bay,CA,2021-09-17 21:49:03,52.85,-102.3842,55.99,43,94,5.01,overcast clouds
258,Vestmanna,FO,2021-09-17 21:49:04,62.1564,-7.1664,50.02,87,100,17.52,overcast clouds
